Data;Produto;Produção Diária;Total Vendido;Sobra / Desperdício;Taxa de Venda (%)
01/09/2026;Beijinho;30;12;18;40.0
01/09/2026;Bolo de chocolate;30;8;22;26.7
01/09/2026;Brigadeiro;30;8;22;26.7
01/09/2026;Ceviche;30;13;17;43.3
01/09/2026;Coxinha;30;9;21;30.0
01/09/2026;Croissant;30;9;21;30.0
01/09/2026;Enroladinho de presunto e queijo;30;4;26;13.3
01/09/2026;Espetinho de carne;30;2;28;6.7
01/09/2026;Frango assado;30;3;27;10.0
01/09/2026;Frango temperado;30;3;27;10.0
01/09/2026;Hambúrguer artesanal;30;7;23;23.3
01/09/2026;Kafta;30;3;27;10.0
01/09/2026;Lasanha;30;4;26;13.3
01/09/2026;Linguiça artesanal;30;3;27;10.0
01/09/2026;Macarrão à bolonhesa;30;7;23;23.3
01/09/2026;Maki;30;8;22;26.7
01/09/2026;Marmita de arroz e feijão;30;6;24;20.0
01/09/2026;Pudim;30;9;21;30.0
01/09/2026;Purê de batata;30;7;23;23.3
01/09/2026;Pão de queijo;30;5;25;16.7
01/09/2026;Pão francês;30;6;24;20.0
01/09/2026;Sashimi;30;8;22;26.7
01/09/2026;Sushi;30;15;15;50.0
01/09/2026;Temaki;30;15;15;50.0
01/09/2026;Torta de limão;30;3;27;10.0
02/09/2026;Beijinho;30;6;24;20.0
02/09/2026;Bolo de chocolate;30;10;20;33.3
02/09/2026;Brigadeiro;30;7;23;23.3
02/09/2026;Ceviche;30;4;26;13.3
02/09/2026;Coxinha;30;5;25;16.7
02/09/2026;Croissant;30;10;20;33.3
02/09/2026;Enroladinho de presunto e queijo;30;3;27;10.0
02/09/2026;Espetinho de carne;30;9;21;30.0
02/09/2026;Frango assado;30;3;27;10.0
02/09/2026;Frango temperado;30;1;29;3.3
02/09/2026;Hambúrguer artesanal;30;2;28;6.7
02/09/2026;Kafta;30;4;26;13.3
02/09/2026;Lasanha;30;1;29;3.3
02/09/2026;Linguiça artesanal;30;5;25;16.7
02/09/2026;Macarrão à bolonhesa;30;6;24;20.0
02/09/2026;Maki;30;13;17;43.3
02/09/2026;Marmita de arroz e feijão;30;5;25;16.7
02/09/2026;Pudim;30;14;16;46.7
02/09/2026;Purê de batata;30;7;23;23.3
02/09/2026;Pão de queijo;30;6;24;20.0
02/09/2026;Pão francês;30;2;28;6.7
02/09/2026;Sashimi;30;9;21;30.0
02/09/2026;Sushi;30;13;17;43.3
02/09/2026;Temaki;30;8;22;26.7
02/09/2026;Torta de limão;30;4;26;13.3
03/09/2026;Beijinho;30;8;22;26.7
03/09/2026;Bolo de chocolate;30;7;23;23.3
03/09/2026;Brigadeiro;30;4;26;13.3
03/09/2026;Ceviche;30;13;17;43.3
03/09/2026;Coxinha;30;6;24;20.0
