Data;Produto;Descarte
01/09/2026;Beijinho;23
01/09/2026;Bolo de chocolate;27
01/09/2026;Brigadeiro;24
01/09/2026;Ceviche;26
01/09/2026;Coxinha;23
01/09/2026;Croissant;26
01/09/2026;Enroladinho de presunto e queijo;25
01/09/2026;Espetinho de carne;20
01/09/2026;Frango assado;22
01/09/2026;Frango temperado;21
01/09/2026;Hambúrguer artesanal;27
01/09/2026;Kafta;26
01/09/2026;Lasanha;26
01/09/2026;Linguiça artesanal;23
01/09/2026;Macarrão à bolonhesa;21
01/09/2026;Maki;24
01/09/2026;Marmita de arroz e feijão;27
01/09/2026;Pudim;24
01/09/2026;Purê de batata;19
01/09/2026;Pão de queijo;24
01/09/2026;Pão francês;26
01/09/2026;Sashimi;27
01/09/2026;Sushi;23
01/09/2026;Temaki;18
01/09/2026;Torta de limão;28
02/09/2026;Beijinho;23
02/09/2026;Bolo de chocolate;22
02/09/2026;Brigadeiro;17
02/09/2026;Ceviche;20
02/09/2026;Coxinha;21
02/09/2026;Croissant;27
02/09/2026;Enroladinho de presunto e queijo;25
02/09/2026;Espetinho de carne;29
02/09/2026;Frango assado;28
02/09/2026;Frango temperado;26
02/09/2026;Hambúrguer artesanal;27
02/09/2026;Kafta;23
02/09/2026;Lasanha;24
02/09/2026;Linguiça artesanal;29
02/09/2026;Macarrão à bolonhesa;28
02/09/2026;Maki;26
02/09/2026;Marmita de arroz e feijão;29
02/09/2026;Pudim;21
02/09/2026;Purê de batata;26
02/09/2026;Pão de queijo;24
02/09/2026;Pão francês;19
02/09/2026;Sashimi;22
02/09/2026;Sushi;16
02/09/2026;Temaki;17
02/09/2026;Torta de limão;18
03/09/2026;Beijinho;21
03/09/2026;Bolo de chocolate;23
03/09/2026;Brigadeiro;17
03/09/2026;Ceviche;18
03/09/2026;Coxinha;24
03/09/2026;Croissant;30
03/09/2026;Enroladinho de presunto e queijo;25
03/09/2026;Espetinho de carne;25
03/09/2026;Frango assado;24
03/09/2026;Frango temperado;29
03/09/2026;Hambúrguer artesanal;29
03/09/2026;Kafta;29
03/09/2026;Lasanha;25
03/09/2026;Linguiça artesanal;25
03/09/2026;Macarrão à bolonhesa;27
03/09/2026;Maki;20
03/09/2026;Marmita de arroz e feijão;28
03/09/2026;Pudim;22
03/09/2026;Purê de batata;27
03/09/2026;Pão de queijo;21
03/09/2026;Pão francês;28
03/09/2026;Sashimi;21
03/09/2026;Sushi;24
03/09/2026;Temaki;24
03/09/2026;Torta de limão;22
04/09/2026;Beijinho;5
04/09/2026;Bolo de chocolate;8
04/09/2026;Brigadeiro;11
04/09/2026;Ceviche;5
04/09/2026;Coxinha;10
04/09/2026;Croissant;17
04/09/2026;Enroladinho de presunto e queijo;12
04/09/2026;Espetinho de carne;13
04/09/2026;Frango assado;17
04/09/2026;Frango temperado;19
04/09/2026;Hambúrguer artesanal;19
04/09/2026;Kafta;15
04/09/2026;Lasanha;18
04/09/2026;Linguiça artesanal;15
04/09/2026;Macarrão à bolonhesa;18
04/09/2026;Maki;5
04/09/2026;Marmita de arroz e feijão;20
04/09/2026;Pudim;13
04/09/2026;Purê de batata;19
04/09/2026;Pão de queijo;11
04/09/2026;Pão francês;15
04/09/2026;Sashimi;6
04/09/2026;Sushi;6
04/09/2026;Temaki;11
04/09/2026;Torta de limão;11
05/09/2026;Beijinho;14
05/09/2026;Bolo de chocolate;14
05/09/2026;Brigadeiro;8
05/09/2026;Ceviche;13
05/09/2026;Coxinha;8
05/09/2026;Croissant;11
05/09/2026;Enroladinho de presunto e queijo;13
05/09/2026;Espetinho de carne;6
05/09/2026;Frango assado;10
05/09/2026;Frango temperado;14
05/09/2026;Hambúrguer artesanal;11
05/09/2026;Kafta;13
05/09/2026;Lasanha;11
05/09/2026;Linguiça artesanal;15
05/09/2026;Macarrão à bolonhesa;6
05/09/2026;Maki;16
05/09/2026;Marmita de arroz e feijão;18
05/09/2026;Pudim;16
05/09/2026;Purê de batata;15
05/09/2026;Pão de queijo;19
05/09/2026;Pão francês;16
05/09/2026;Sashimi;8
05/09/2026;Sushi;14
05/09/2026;Temaki;8
05/09/2026;Torta de limão;8
06/09/2026;Beijinho;4
06/09/2026;Bolo de chocolate;6
06/09/2026;Brigadeiro;12
06/09/2026;Ceviche;9
06/09/2026;Coxinha;1
06/09/2026;Croissant;12
06/09/2026;Enroladinho de presunto e queijo;5
06/09/2026;Espetinho de carne;20
06/09/2026;Frango assado;7
06/09/2026;Frango temperado;14
06/09/2026;Hambúrguer artesanal;19
06/09/2026;Kafta;11
06/09/2026;Lasanha;15
06/09/2026;Linguiça artesanal;15
06/09/2026;Macarrão à bolonhesa;14
06/09/2026;Maki;3
06/09/2026;Marmita de arroz e feijão;19
06/09/2026;Pudim;2
06/09/2026;Purê de batata;11
06/09/2026;Pão de queijo;6
06/09/2026;Pão francês;9
06/09/2026;Sashimi;11
06/09/2026;Sushi;3
06/09/2026;Temaki;7
06/09/2026;Torta de limão;6
07/09/2026;Beijinho;6
07/09/2026;Bolo de chocolate;9
07/09/2026;Brigadeiro;2
07/09/2026;Ceviche;6
07/09/2026;Coxinha;15
07/09/2026;Croissant;13
07/09/2026;Enroladinho de presunto e queijo;13
07/09/2026;Espetinho de carne;17
07/09/2026;Frango assado;14
07/09/2026;Frango temperado;12
