Produto;Ingrediente;Quantidade
Hambúrguer artesanal;Carne bovina moída;150 g
Hambúrguer artesanal;Pão de hambúrguer;1 un
Hambúrguer artesanal;Queijo;30 g
Hambúrguer artesanal;Alface;20 g
Hambúrguer artesanal;Tomate;30 g
Espetinho de carne;Carne bovina;150 g
Espetinho de carne;Cebola;30 g
Espetinho de carne;Pimentão;30 g
Espetinho de carne;Sal;2 g
Frango temperado;Frango;200 g
Frango temperado;Alho;5 g
Frango temperado;Sal;2 g
Frango temperado;Limão;20 ml
Linguiça artesanal;Carne suína;180 g
Linguiça artesanal;Alho;5 g
Linguiça artesanal;Sal;2 g
Kafta;Carne bovina moída;150 g
Kafta;Cebola;30 g
Kafta;Alho;5 g
Kafta;Salsinha;5 g
Kafta;Sal;2 g
Pão francês;Farinha de trigo;60 g
Pão francês;Água;35 ml
Pão francês;Fermento biológico;2 g
Pão francês;Sal;1 g
Pão de queijo;Polvilho;50 g
Pão de queijo;Queijo;30 g
Pão de queijo;Leite;20 ml
Pão de queijo;Ovo;20 g
Croissant;Farinha de trigo;60 g
Croissant;Manteiga;30 g
Croissant;Leite;20 ml
Croissant;Ovo;15 g
Coxinha;Frango;60 g
Coxinha;Farinha de trigo;50 g
Coxinha;Batata;30 g
Coxinha;Caldo de galinha;100 ml
Coxinha;Farinha de rosca;20 g
Enroladinho de presunto e queijo;Farinha de trigo;50 g
Enroladinho de presunto e queijo;Presunto;30 g
Enroladinho de presunto e queijo;Queijo muçarela;30 g
Enroladinho de presunto e queijo;Ovo;10 g
Marmita de arroz e feijão;Arroz;150 g
Marmita de arroz e feijão;Feijão;120 g
Marmita de arroz e feijão;Carne;100 g
Marmita de arroz e feijão;Salada;50 g
Frango assado;Frango;500 g
Frango assado;Alho;10 g
Frango assado;Sal;5 g
Frango assado;Limão;30 ml
Lasanha;Massa de lasanha;100 g
Lasanha;Carne moída;100 g
Lasanha;Molho de tomate;100 g
Lasanha;Queijo muçarela;80 g
Lasanha;Molho branco;80 g
Macarrão à bolonhesa;Macarrão;150 g
Macarrão à bolonhesa;Carne moída;100 g
Macarrão à bolonhesa;Molho de tomate;100 g
Macarrão à bolonhesa;Cebola;20 g
Purê de batata;Batata;200 g
Purê de batata;Leite;30 ml
Purê de batata;Manteiga;10 g
Sushi;Arroz japonês;80 g
Sushi;Salmão;50 g
Sushi;Alga nori;5 g
Sushi;Vinagre de arroz;10 ml
Sashimi;Salmão;100 g
Sashimi;Molho de soja;20 ml
Sashimi;Wasabi;5 g
Maki;Arroz japonês;80 g
Maki;Salmão;40 g
Maki;Alga nori;5 g
Maki;Pepino;20 g
Temaki;Arroz japonês;70 g
Temaki;Salmão;60 g
Temaki;Alga nori;5 g
Temaki;Cream cheese;20 g
Ceviche;Peixe fresco;100 g
Ceviche;Limão;40 ml
Ceviche;Cebola roxa;20 g
Ceviche;Coentro;5 g
Ceviche;Pimenta;2 g
Bolo de chocolate;Farinha de trigo;100 g
Bolo de chocolate;Açúcar;80 g
Bolo de chocolate;Ovo;50 g
Bolo de chocolate;Leite;50 ml
Bolo de chocolate;Chocolate em pó;30 g
Pudim;Leite condensado;100 g
Pudim;Leite;100 ml
Pudim;Ovo;50 g
Pudim;Açúcar;30 g
Torta de limão;Biscoito;80 g
Torta de limão;Manteiga;30 g
Torta de limão;Leite condensado;100 g
Torta de limão;Creme de leite;50 g
Torta de limão;Limão;30 ml
Brigadeiro;Leite condensado;100 g
Brigadeiro;Chocolate em pó;20 g
Brigadeiro;Manteiga;5 g
Brigadeiro;Granulado;15 g
Beijinho;Leite condensado;100 g
Beijinho;Coco ralado;20 g
Beijinho;Manteiga;5 g
