Produto;Setor;Tempo de preparo
Hambúrguer artesanal;Açougue;5 min
Espetinho de carne;Açougue;4 min
Frango temperado;Açougue;3 min
Linguiça artesanal;Açougue;5 min
Kafta;Açougue;5 min
Pão francês;Padaria;3 min
Pão de queijo;Padaria;4 min
Croissant;Padaria;5 min
Coxinha;Padaria;5 min
Enroladinho de presunto e queijo;Padaria;5 min
Marmita de arroz e feijão;Cozinha/Rotisseria;5 min
Frango assado;Cozinha/Rotisseria;5 min
Lasanha;Cozinha/Rotisseria;5 min
Macarrão à bolonhesa;Cozinha/Rotisseria;5 min
Purê de batata;Cozinha/Rotisseria;4 min
Sushi;Peixaria;3 min
Sashimi;Peixaria;2 min
Maki;Peixaria;3 min
Temaki;Peixaria;4 min
Ceviche;Peixaria;5 min
Bolo de chocolate;Confeitaria;5 min
Pudim;Confeitaria;5 min
Torta de limão;Confeitaria;5 min
Brigadeiro;Confeitaria;3 min
Beijinho;Confeitaria;3 min
