Dia;Clima;Véspera de Feriado;Feriado;Véspera de Fim de Semana;Fim de Semana
01/08/2026;Calor;Não;Não;Não;Sim
02/08/2026;Calor;Não;Não;Não;Sim
03/08/2026;Frio;Não;Não;Não;Não
04/08/2026;Frio;Não;Não;Não;Não
05/08/2026;Calor;Não;Não;Não;Não
06/08/2026;Calor;Não;Não;Não;Não
07/08/2026;Frio;Não;Não;Sim;Não
08/08/2026;Frio;Sim;Não;Não;Sim
09/08/2026;Frio;Não;Sim;Não;Sim
10/08/2026;Frio;Não;Não;Não;Não
11/08/2026;Frio;Não;Não;Não;Não
12/08/2026;Frio;Não;Não;Não;Não
13/08/2026;Frio;Não;Não;Não;Não
14/08/2026;Frio;Não;Não;Sim;Não
15/08/2026;Frio;Não;Não;Não;Sim
16/08/2026;Frio;Não;Não;Não;Sim
17/08/2026;Frio;Não;Não;Não;Não
18/08/2026;Frio;Não;Não;Não;Não
19/08/2026;Calor;Não;Não;Não;Não
20/08/2026;Frio;Não;Não;Não;Não
21/08/2026;Calor;Não;Não;Sim;Não
22/08/2026;Calor;Não;Não;Não;Sim
23/08/2026;Calor;Não;Não;Não;Sim
24/08/2026;Calor;Não;Não;Não;Não
25/08/2026;Calor;Não;Não;Não;Não
26/08/2026;Calor;Não;Não;Não;Não
27/08/2026;Calor;Não;Não;Não;Não
28/08/2026;Calor;Não;Não;Sim;Não
29/08/2026;Calor;Não;Não;Não;Sim
30/08/2026;Calor;Não;Não;Não;Sim
31/08/2026;Calor;Não;Não;Não;Não
