Dia;Clima;Véspera de Feriado;Feriado;Véspera de Fim de Semana;Fim de Semana
01/09/2026;Calor;Não;Não;Não;Não
02/09/2026;Calor;Não;Não;Não;Não
03/09/2026;Calor;Não;Não;Não;Não
04/09/2026;Calor;Não;Não;Sim;Não
05/09/2026;Calor;Não;Não;Não;Sim
06/09/2026;Calor;Sim;Não;Não;Sim
07/09/2026;Calor;Não;Sim;Não;Não
08/09/2026;Calor;Não;Não;Não;Não
09/09/2026;Calor;Não;Não;Não;Não
10/09/2026;Calor;Não;Não;Não;Não
11/09/2026;Calor;Não;Não;Sim;Não
12/09/2026;Calor;Não;Não;Não;Sim
13/09/2026;Calor;Não;Não;Não;Sim
14/09/2026;Calor;Não;Não;Não;Não
15/09/2026;Frio;Não;Não;Não;Não
16/09/2026;Frio;Não;Não;Não;Não
17/09/2026;Frio;Não;Não;Não;Não
18/09/2026;Frio;Não;Não;Sim;Não
19/09/2026;Frio;Não;Não;Não;Sim
20/09/2026;Frio;Não;Não;Não;Sim
21/09/2026;Frio;Não;Não;Não;Não
22/09/2026;Frio;Não;Não;Não;Não
23/09/2026;Frio;Não;Não;Não;Não
24/09/2026;Frio;Não;Não;Não;Não
25/09/2026;Frio;Não;Não;Sim;Não
26/09/2026;Frio;Não;Não;Não;Sim
27/09/2026;Frio;Não;Não;Não;Sim
28/09/2026;Frio;Não;Não;Não;Não
29/09/2026;Frio;Não;Não;Não;Não
30/09/2026;Frio;Não;Não;Não;Não
