Data;Período;Produto;Qtd
01/08/2026;Manhã;Beijinho;9
01/08/2026;Manhã;Bolo de chocolate;3
01/08/2026;Manhã;Brigadeiro;4
01/08/2026;Manhã;Ceviche;2
01/08/2026;Manhã;Coxinha;2
01/08/2026;Manhã;Croissant;2
01/08/2026;Manhã;Enroladinho de presunto e queijo;4
01/08/2026;Manhã;Espetinho de carne;1
01/08/2026;Manhã;Frango assado;1
01/08/2026;Manhã;Frango temperado;0
01/08/2026;Manhã;Hambúrguer artesanal;2
01/08/2026;Manhã;Kafta;1
01/08/2026;Manhã;Lasanha;1
01/08/2026;Manhã;Linguiça artesanal;1
01/08/2026;Manhã;Macarrão à bolonhesa;1
01/08/2026;Manhã;Maki;5
01/08/2026;Manhã;Marmita de arroz e feijão;0
01/08/2026;Manhã;Pudim;1
01/08/2026;Manhã;Purê de batata;1
01/08/2026;Manhã;Pão de queijo;3
01/08/2026;Manhã;Pão francês;8
01/08/2026;Manhã;Sashimi;2
01/08/2026;Manhã;Sushi;2
01/08/2026;Manhã;Temaki;6
01/08/2026;Manhã;Torta de limão;6
01/08/2026;Tarde;Beijinho;4
01/08/2026;Tarde;Bolo de chocolate;5
01/08/2026;Tarde;Brigadeiro;4
01/08/2026;Tarde;Ceviche;5
01/08/2026;Tarde;Coxinha;4
01/08/2026;Tarde;Croissant;1
01/08/2026;Tarde;Enroladinho de presunto e queijo;5
01/08/2026;Tarde;Espetinho de carne;4
01/08/2026;Tarde;Frango assado;4
01/08/2026;Tarde;Frango temperado;5
01/08/2026;Tarde;Hambúrguer artesanal;5
01/08/2026;Tarde;Kafta;1
01/08/2026;Tarde;Lasanha;2
01/08/2026;Tarde;Linguiça artesanal;4
01/08/2026;Tarde;Macarrão à bolonhesa;3
01/08/2026;Tarde;Maki;3
01/08/2026;Tarde;Marmita de arroz e feijão;3
01/08/2026;Tarde;Pudim;2
01/08/2026;Tarde;Purê de batata;3
01/08/2026;Tarde;Pão de queijo;4
01/08/2026;Tarde;Pão francês;5
01/08/2026;Tarde;Sashimi;2
01/08/2026;Tarde;Sushi;5
01/08/2026;Tarde;Temaki;4
01/08/2026;Tarde;Torta de limão;8
01/08/2026;Noite;Beijinho;5
01/08/2026;Noite;Bolo de chocolate;2
01/08/2026;Noite;Brigadeiro;1
01/08/2026;Noite;Ceviche;10
01/08/2026;Noite;Coxinha;1
01/08/2026;Noite;Croissant;1
01/08/2026;Noite;Enroladinho de presunto e queijo;5
01/08/2026;Noite;Espetinho de carne;2
01/08/2026;Noite;Frango assado;1
01/08/2026;Noite;Frango temperado;1
01/08/2026;Noite;Hambúrguer artesanal;1
01/08/2026;Noite;Kafta;2
01/08/2026;Noite;Lasanha;2
01/08/2026;Noite;Linguiça artesanal;6
01/08/2026;Noite;Macarrão à bolonhesa;2
01/08/2026;Noite;Maki;7
01/08/2026;Noite;Marmita de arroz e feijão;3
01/08/2026;Noite;Pudim;6
01/08/2026;Noite;Purê de batata;0
01/08/2026;Noite;Pão de queijo;3
01/08/2026;Noite;Pão francês;3
01/08/2026;Noite;Sashimi;7
01/08/2026;Noite;Sushi;10
01/08/2026;Noite;Temaki;7
01/08/2026;Noite;Torta de limão;4
02/08/2026;Manhã;Beijinho;5
02/08/2026;Manhã;Bolo de chocolate;5
02/08/2026;Manhã;Brigadeiro;5
02/08/2026;Manhã;Ceviche;1
02/08/2026;Manhã;Coxinha;3
02/08/2026;Manhã;Croissant;4
02/08/2026;Manhã;Enroladinho de presunto e queijo;3
02/08/2026;Manhã;Espetinho de carne;3
02/08/2026;Manhã;Frango assado;1
02/08/2026;Manhã;Frango temperado;0
02/08/2026;Manhã;Hambúrguer artesanal;0
02/08/2026;Manhã;Kafta;1
02/08/2026;Manhã;Lasanha;1
02/08/2026;Manhã;Linguiça artesanal;1
02/08/2026;Manhã;Macarrão à bolonhesa;3
02/08/2026;Manhã;Maki;2
02/08/2026;Manhã;Marmita de arroz e feijão;0
02/08/2026;Manhã;Pudim;4
02/08/2026;Manhã;Purê de batata;2
02/08/2026;Manhã;Pão de queijo;4
02/08/2026;Manhã;Pão francês;1
02/08/2026;Manhã;Sashimi;4
02/08/2026;Manhã;Sushi;3
02/08/2026;Manhã;Temaki;2
02/08/2026;Manhã;Torta de limão;6
02/08/2026;Tarde;Beijinho;3
02/08/2026;Tarde;Bolo de chocolate;5
02/08/2026;Tarde;Brigadeiro;2
02/08/2026;Tarde;Ceviche;2
02/08/2026;Tarde;Coxinha;5
02/08/2026;Tarde;Croissant;3
02/08/2026;Tarde;Enroladinho de presunto e queijo;2
02/08/2026;Tarde;Espetinho de carne;1
02/08/2026;Tarde;Frango assado;4
02/08/2026;Tarde;Frango temperado;2
02/08/2026;Tarde;Hambúrguer artesanal;1
02/08/2026;Tarde;Kafta;1
02/08/2026;Tarde;Lasanha;1
02/08/2026;Tarde;Linguiça artesanal;2
02/08/2026;Tarde;Macarrão à bolonhesa;2
02/08/2026;Tarde;Maki;5
02/08/2026;Tarde;Marmita de arroz e feijão;4
02/08/2026;Tarde;Pudim;3
02/08/2026;Tarde;Purê de batata;0
02/08/2026;Tarde;Pão de queijo;3
02/08/2026;Tarde;Pão francês;4
02/08/2026;Tarde;Sashimi;4
02/08/2026;Tarde;Sushi;4
02/08/2026;Tarde;Temaki;4
02/08/2026;Tarde;Torta de limão;3
02/08/2026;Noite;Beijinho;1
02/08/2026;Noite;Bolo de chocolate;3
02/08/2026;Noite;Brigadeiro;2
02/08/2026;Noite;Ceviche;2
02/08/2026;Noite;Coxinha;3
02/08/2026;Noite;Croissant;0
02/08/2026;Noite;Enroladinho de presunto e queijo;5
02/08/2026;Noite;Espetinho de carne;5
02/08/2026;Noite;Frango assado;2
02/08/2026;Noite;Frango temperado;2
02/08/2026;Noite;Hambúrguer artesanal;1
02/08/2026;Noite;Kafta;1
02/08/2026;Noite;Lasanha;1
02/08/2026;Noite;Linguiça artesanal;1
02/08/2026;Noite;Macarrão à bolonhesa;0
02/08/2026;Noite;Maki;10
02/08/2026;Noite;Marmita de arroz e feijão;2
02/08/2026;Noite;Pudim;5
02/08/2026;Noite;Purê de batata;4
02/08/2026;Noite;Pão de queijo;1
02/08/2026;Noite;Pão francês;2
02/08/2026;Noite;Sashimi;7
02/08/2026;Noite;Sushi;8
02/08/2026;Noite;Temaki;9
02/08/2026;Noite;Torta de limão;6
03/08/2026;Manhã;Beijinho;4
03/08/2026;Manhã;Bolo de chocolate;3
03/08/2026;Manhã;Brigadeiro;5
03/08/2026;Manhã;Ceviche;0
03/08/2026;Manhã;Coxinha;3
