Data;Período;Produto;Qtd
01/09/2026;Manhã;Beijinho;1
01/09/2026;Manhã;Bolo de chocolate;0
01/09/2026;Manhã;Brigadeiro;4
01/09/2026;Manhã;Ceviche;1
01/09/2026;Manhã;Coxinha;1
01/09/2026;Manhã;Croissant;1
01/09/2026;Manhã;Enroladinho de presunto e queijo;2
01/09/2026;Manhã;Espetinho de carne;1
01/09/2026;Manhã;Frango assado;0
01/09/2026;Manhã;Frango temperado;6
01/09/2026;Manhã;Hambúrguer artesanal;0
01/09/2026;Manhã;Kafta;0
01/09/2026;Manhã;Lasanha;1
01/09/2026;Manhã;Linguiça artesanal;0
01/09/2026;Manhã;Macarrão à bolonhesa;2
01/09/2026;Manhã;Maki;1
01/09/2026;Manhã;Marmita de arroz e feijão;1
01/09/2026;Manhã;Pudim;3
01/09/2026;Manhã;Purê de batata;4
01/09/2026;Manhã;Pão de queijo;3
01/09/2026;Manhã;Pão francês;1
01/09/2026;Manhã;Sashimi;0
01/09/2026;Manhã;Sushi;0
01/09/2026;Manhã;Temaki;3
01/09/2026;Manhã;Torta de limão;1
01/09/2026;Tarde;Beijinho;4
01/09/2026;Tarde;Bolo de chocolate;1
01/09/2026;Tarde;Brigadeiro;0
01/09/2026;Tarde;Ceviche;0
01/09/2026;Tarde;Coxinha;2
01/09/2026;Tarde;Croissant;2
01/09/2026;Tarde;Enroladinho de presunto e queijo;2
01/09/2026;Tarde;Espetinho de carne;1
01/09/2026;Tarde;Frango assado;7
01/09/2026;Tarde;Frango temperado;3
01/09/2026;Tarde;Hambúrguer artesanal;1
01/09/2026;Tarde;Kafta;2
01/09/2026;Tarde;Lasanha;3
01/09/2026;Tarde;Linguiça artesanal;2
01/09/2026;Tarde;Macarrão à bolonhesa;5
01/09/2026;Tarde;Maki;2
01/09/2026;Tarde;Marmita de arroz e feijão;1
01/09/2026;Tarde;Pudim;1
01/09/2026;Tarde;Purê de batata;3
01/09/2026;Tarde;Pão de queijo;2
01/09/2026;Tarde;Pão francês;2
01/09/2026;Tarde;Sashimi;3
01/09/2026;Tarde;Sushi;1
01/09/2026;Tarde;Temaki;2
01/09/2026;Tarde;Torta de limão;0
01/09/2026;Noite;Beijinho;2
01/09/2026;Noite;Bolo de chocolate;2
01/09/2026;Noite;Brigadeiro;2
01/09/2026;Noite;Ceviche;3
01/09/2026;Noite;Coxinha;4
01/09/2026;Noite;Croissant;1
01/09/2026;Noite;Enroladinho de presunto e queijo;1
